"continent","location","date","population","new_vaccinations"
"Asia","Afghanistan","12/17/22","41128772",NULL
"Asia","Afghanistan","12/17/23","41128772",NULL
"Asia","Afghanistan","12/18/20","41128772",NULL
"Asia","Afghanistan","12/18/21","41128772",NULL
"Asia","Afghanistan","12/18/22","41128772",NULL
"Asia","Afghanistan","12/18/23","41128772",NULL
"Asia","Afghanistan","12/19/20","41128772",NULL
"Asia","Afghanistan","12/19/21","41128772",NULL
"Asia","Afghanistan","12/19/22","41128772",NULL
"Asia","Afghanistan","12/19/23","41128772",NULL
"Asia","Afghanistan","12/2/20","41128772",NULL
"Asia","Afghanistan","12/2/21","41128772",NULL
"Asia","Afghanistan","12/2/22","41128772",NULL
"Asia","Afghanistan","12/2/23","41128772",NULL
"Asia","Afghanistan","12/20/20","41128772",NULL
"Asia","Afghanistan","12/20/21","41128772",NULL
"Asia","Afghanistan","12/20/22","41128772",NULL
"Asia","Afghanistan","12/20/23","41128772",NULL
"Asia","Afghanistan","12/21/20","41128772",NULL
"Asia","Afghanistan","12/21/21","41128772",NULL
"Asia","Afghanistan","12/21/22","41128772",NULL
"Asia","Afghanistan","12/21/23","41128772",NULL
"Asia","Afghanistan","12/22/20","41128772",NULL
"Asia","Afghanistan","12/22/21","41128772",NULL
"Asia","Afghanistan","12/22/22","41128772",NULL
"Asia","Afghanistan","12/22/23","41128772",NULL
"Asia","Afghanistan","12/23/20","41128772",NULL
"Asia","Afghanistan","12/23/21","41128772",NULL
"Asia","Afghanistan","12/23/22","41128772",NULL
"Asia","Afghanistan","12/23/23","41128772",NULL
"Asia","Afghanistan","12/24/20","41128772",NULL
"Asia","Afghanistan","12/24/21","41128772",NULL
"Asia","Afghanistan","12/24/22","41128772",NULL
