"continent","location","date","population","new_vaccinations","rollingpeoplevaccinated","percentage_vaccinated"
"Africa","Cote d'Ivoire","2021-06-14","28160548","2427","1099227","3.903429009975232"
"Africa","Cote d'Ivoire","2021-06-19","28160548","2519","1128869","4.008689745668302"
"Africa","Cote d'Ivoire","2021-04-02","28160548","2522","630799","2.2400096759480674"
"Africa","Cote d'Ivoire","2021-04-01","28160548","2572","608864","2.1621170156205767"
"Africa","Cote d'Ivoire","2021-04-03","28160548","2721","668680","2.3745276547885363"
"Africa","Cote d'Ivoire","2021-05-13","28160548","2772","729487","2.5904574016102244"
"Africa","Cote d'Ivoire","2021-03-31","28160548","2786","604853","2.1478736848444853"
"Africa","Cote d'Ivoire","2021-03-30","28160548","2979","602067","2.137980411460743"
"Africa","Cote d'Ivoire","2021-07-05","28160548","3182","1413319","5.018790827508044"
"Africa","Cote d'Ivoire","2021-08-02","28160548","3650","1564842","5.556859191802659"
"Africa","Cote d'Ivoire","2021-08-06","28160548","3801","1745758","6.199304076042838"
"Africa","Cote d'Ivoire","2021-04-15","28160548","3842","620726","2.2042397754475513"
"Africa","Cote d'Ivoire","2021-07-13","28160548","3872","1245647","4.423376278046861"
"Africa","Cote d'Ivoire","2021-06-18","28160548","3876","1126350","3.9997446072427287"
"Africa","Cote d'Ivoire","2021-04-22","28160548","3967","634766","2.2540967597647605"
"Africa","Cote d'Ivoire","2021-04-24","28160548","4003","642916","2.283037957926103"
"Africa","Cote d'Ivoire","2021-06-29","28160548","4041","1160518","4.121077473350305"
"Africa","Cote d'Ivoire","2021-04-23","28160548","4147","638913","2.268823035688084"
"Africa","Cote d'Ivoire","2021-08-27","28160548","4163","1613501","5.7296505735612815"
"Africa","Cote d'Ivoire","2021-05-02","28160548","4195","829458","2.9454611465657554"
"Africa","Cote d'Ivoire","2021-06-07","28160548","4367","1193503","4.238209426890414"
"Africa","Cote d'Ivoire","2021-07-18","28160548","4384","1280719","4.54791930895663"
"Africa","Cote d'Ivoire","2021-05-10","28160548","4393","701210","2.4900438727257725"
