"location","date","population","total_cases","percentpopulationinfected"
"North America","8/25/21","600323657","45358228","7.555628946336859"
"North America","8/26/21","600323657","45358228","7.555628946336859"
"North America","8/27/21","600323657","45358228","7.555628946336859"
"North America","8/28/21","600323657","45358228","7.555628946336859"
"North America","8/29/21","600323657","46720228","7.782506562122705"
"North America","8/30/21","600323657","46720228","7.782506562122705"
"North America","8/31/21","600323657","46720228","7.782506562122705"
"North America","9/1/21","600323657","46720228","7.782506562122705"
"North America","9/2/21","600323657","46720228","7.782506562122705"
"North America","9/3/21","600323657","46720228","7.782506562122705"
"North America","9/4/21","600323657","46720228","7.782506562122705"
"North America","9/5/21","600323657","48101496","8.012593779891636"
"North America","9/6/21","600323657","48101496","8.012593779891636"
"North America","9/7/21","600323657","48101496","8.012593779891636"
"North America","9/8/21","600323657","48101496","8.012593779891636"
"North America","9/9/21","600323657","48101496","8.012593779891636"
"North America","9/10/21","600323657","48101496","8.012593779891636"
"North America","9/11/21","600323657","48101496","8.012593779891636"
"North America","9/12/21","600323657","49357874","8.221877219807782"
"North America","9/13/21","600323657","49357874","8.221877219807782"
"North America","9/14/21","600323657","49357874","8.221877219807782"
"North America","9/15/21","600323657","49357874","8.221877219807782"
"North America","9/16/21","600323657","49357874","8.221877219807782"
"North America","9/17/21","600323657","49357874","8.221877219807782"
"North America","9/18/21","600323657","49357874","8.221877219807782"
"North America","9/19/21","600323657","50604279","8.429499389193653"
"North America","9/20/21","600323657","50604279","8.429499389193653"
"North America","9/21/21","600323657","50604279","8.429499389193653"
"North America","9/22/21","600323657","50604279","8.429499389193653"
"North America","9/23/21","600323657","50604279","8.429499389193653"
"North America","9/24/21","600323657","50604279","8.429499389193653"
"North America","9/25/21","600323657","50604279","8.429499389193653"
"North America","9/26/21","600323657","51664587","8.60612211389164"
"North America","9/27/21","600323657","51664587","8.60612211389164"
"North America","9/28/21","600323657","51664587","8.60612211389164"
"North America","9/29/21","600323657","51664587","8.60612211389164"
"North America","9/30/21","600323657","51664587","8.60612211389164"
"North America","10/1/21","600323657","51664587","8.60612211389164"
"North America","10/2/21","600323657","51664587","8.60612211389164"
"North America","10/3/21","600323657","52587831","8.759913154646844"
"North America","10/4/21","600323657","52587831","8.759913154646844"
"North America","10/5/21","600323657","52587831","8.759913154646844"
"North America","10/6/21","600323657","52587831","8.759913154646844"
"North America","10/7/21","600323657","52587831","8.759913154646844"
"North America","10/8/21","600323657","52587831","8.759913154646844"
"North America","10/9/21","600323657","52587831","8.759913154646844"
"North America","10/10/21","600323657","53406954","8.89636005132478"
"North America","10/11/21","600323657","53406954","8.89636005132478"
"North America","10/12/21","600323657","53406954","8.89636005132478"
"North America","10/13/21","600323657","53406954","8.89636005132478"
"North America","10/14/21","600323657","53406954","8.89636005132478"
"North America","10/15/21","600323657","53406954","8.89636005132478"
"North America","10/16/21","600323657","53406954","8.89636005132478"
"North America","10/17/21","600323657","54098242","9.011512601443258"
"North America","10/18/21","600323657","54098242","9.011512601443258"
"North America","10/19/21","600323657","54098242","9.011512601443258"
"North America","10/20/21","600323657","54098242","9.011512601443258"
"North America","10/21/21","600323657","54098242","9.011512601443258"
"North America","10/22/21","600323657","54098242","9.011512601443258"
"North America","10/23/21","600323657","54098242","9.011512601443258"
"North America","10/24/21","600323657","54695990","9.111083556715474"
